id,displayName,hidden,pinPosition,flagURL,snapshot,stakes,doing,partner1,partner2,partner3,partner4,partner5,partner6,partner7,partner8,partner9,partner10,donor1,donor2,donor3,donor4,donor5,contact1,contact2,learnMore1,learnMore2,learnMore3,learnMore4,learnMore5,learnMore6,photoURL,photoCaption,outline1,outline2,outline3,outline4,customTitle,custom1,custom2,custom3
AUS,Australia,,"821, 326",images/flag-australia.png,"Mining companies – and many of the largest miners are Australian companies – that don’t respect human rights or protect the environment hinder, rather than help, development efforts.  ","<p>Many of the world’s mining giants call Australia home. Australia has profited from a global mining boom that has seen the industry increase its activities both here and overseas. More and more, the Australian mining industry is active in countries where corruption is plentiful and conflict is an ever-present risk. Mining companies that don’t respect human rights or protect the environment may cause harm to the communities living around their operations. Too often it’s the most marginalized — women and indigenous people — who are worst affected.</p>

<p>Without appropriate regulations and controls, and company commitments to human rights and sustainability, mining can cause people to lose their land and way of life while irreparably damaging the environment and exacerbating the risks of violent conflict. What’s more, without a commitment to transparency, the taxes that mining companies pay to governments may not be used for essential services like schools and hospitals.</p>

<p>But it doesn’t have to be this way.</p> ","<p>Our <a href=""https://www.oxfam.org.au/explore/mining/"">Mining and Advocacy program</a> works to influence the policies and practices of Australian mining, oil, and gas companies, the Australian government and multilateral institutions that support extractive industries.</p> 

<p>We take a rights-based approach to our work. This means that our advocacy efforts seek to ensure that mining respects the rights defined under the international human rights system, including the right of indigenous peoples and local community members to determine their development and to give or withhold free, prior and informed consent to mining activities. The Mining Advocacy program also works with affected communities to support them to understand their rights and corporate accountability mechanisms available to them that can hold companies accountable for their practices. </p>

Our Mining and Advocacy program focuses on:
<ul>
<li>The gender impacts of mining;</li>
<li>Human rights, including the right to free, prior and informed consent;</li>
<li>Community-company grievance mechanisms; and </li>
<li>Revenue transparency.</li>
</ul>","<a href=""http://www.publishwhatyoupay.org/"">Publish What You Pay</a>","<a href=""http://oecdwatch.org"">OECD Watch</a>","<a href=""http://www.dtp.unsw.edu.au"">Diplomacy Training Program</a>","<a href=""http://www.jubileeaustralia.org"">Jubilee Australia</a>",,,,,,,,,,,,"<a href=""mailto:serenal@oxfam.org.au"">Serena Lillywhite, Mining Advocacy Lead, Oxfam Australia</a>",,"<a href=""https://www.oxfam.org.au/explore/mining/"">Oxfam Australia’s Mining Advocacy Program home page</a>","<a href=""http://resources.oxfam.org.au/pages/view.php?ref=1323&k="">Strengthening Community Understanding of Free, Prior and Informed Consent: Trainers Manual (2014)</a>","<a href=""http://resources.oxfam.org.au/?r=1321"">Guide to Free, Prior and Informed Consent (2014)</a>","<a href=""http://resources.oxfam.org.au/?r=1099"">The Right to Decide: Company Commitments and Community Consent (2013)</a>","<a href=""http://resources.oxfam.org.au/?r=506"">Community – Company Grievance Resolution: a guide for the Australian mining industry (2010)</a>","<a href=""http://resources.oxfam.org.au/?r=460"">Women, communities and mining: the gender impacts of mining and the role of gender impact assessment (2009)</a>",images/photo-australia.jpg,BHP Billiton and Woodside headquarters in Perth.  Shanta Martin/OxfamAUS,,,,,,,,
BOL,Bolivia,,"312, 302",images/flag-bolivia.png,lorem ipsum,<p>lorem ipsum</p>,<p>lorem ipsum</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,,"347, 284",images/flag-brazil.png,lorem ipsum,<p>lorem ipsum</p>,<p>lorem ipsum</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,,"476, 213",images/flag-burkina.png,The expansion of gold mining in Burkina Faso – making it the 4th largest gold producer in Africa – has proceeded faster than mining reforms. ,"<p>For many, gold mining is seen as a way for Burkina Faso to overcome its history of systemic poverty and inequality. Between 2007 and 2010, the number of foreign owned large-scale gold mines operating in the country increased, making Burkina Faso the 4th largest gold producer in Africa. </p>

<p>In light of mining’s new importance, Burkina Faso committed to disclose mining payments and revenues by joining the Extractive Industries Transparency Initiative (EITI). While revenues from industrial mining, in the form of royalties and income taxes, have increased since the opening of the first gold mine in 2007, they still remain absurdly low.</p>

<p>Currently a new mining code is being prepared with input from the IMF to attract more investment in mining and maximize government revenues while simultaneously protecting human and environmental rights – a promise that is easier said than done. For a start, citizens are asking mining companies to pay more to the communities where they are mining gold so that these profits can be invested in services and infrastructure.</p>","<p>Oxfam has worked in Burkina Faso for more than 30 years. In partnership with local organizations we support mining affected communities to engage effectively – and without fear of retribution – with government and mining companies to:</p>
<ul>
<li>Raise awareness through human rights advocacy and capacity building so that communities have a good understanding of their rights and are able to claim them;</li>
<li>Secure public access to mining contract and revenue information;</li> 
<li>Increase local engagement in expenditure monitoring and pro-poor budget decision making;</li>
<li>Increase local involvement and effectiveness in regulatory reforms to Burkina Faso’s mining laws to ensure consistency with the ECOWAS mining development policy, the Africa Mining Vision and international human rights law, and achieve full implementation by the government and EI companies;</li>
<li>Increase access to information on how resource revenues are spent at each level of government to ensure governments have the financial capacities to fulfill their responsibilities.</li>
</ul>",Organisation pour le Renforcement des Capacités de Développement  (ORCADE) ,Publish What You Pay Burkina Faso,Réseau Africain de Journalistes pour l’Intégrité et la Transparence (RAJIT-Burkina Faso),MIN’ALERTE,,,,,,,Ford Foundation,,,,,"<a href=""mailto:NKone@OxfamAmerica.org"">Nadine Kone, Regional EI Policy Coordinator</a>",,"<a href=""http://www.oxfamamerica.org/explore/stories/burkina-struggles-for-another-half-percent/"">Burkina struggles for another half percent</a>","<a href=""http://politicsofpoverty.oxfamamerica.org/2014/05/burkina-fasos-golden-dreams/""> Burkina Faso’s Golden Dreams </a>",,,,,images/photo-burkina.jpg,"Families, in desperation, are increasingly resorting to digging for gold. Artisanal Gold-mining is labour intensive, with very basic tools. The gold needs to be separated from the dusty earth or extracted from the rock. What they will find will usually allow them to buy just a dish of millet per day. Sirguin, in the north-centre region of Burkina Faso.  Andy Hall/ Oxfam Great Britain.  ",,,,,,,,
KHM,Cambodia,,"753, 213",images/flag-cambodia.png,lorem ipsum,<p>lorem ipsum</p>,<p>lorem ipsum</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,,"245, 85",images/flag-canada.png,lorem ipsum,<p>lorem ipsum</p>,<p>lorem ipsum</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,,"289, 238",images/flag-columbia.png,lorem ipsum,<p>lorem ipsum</p>,<p>lorem ipsum</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,D.R. Congo,,"542, 260",images/flag-drcongo.png,lorem ipsum,<p>lorem ipsum</p>,<p>lorem ipsum</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,,"500, 83",images/flag-denmark.png,lorem ipsum,<p>lorem ipsum</p>,<p>lorem ipsum</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,,"299, 194",images/flag-dom.png,lorem ipsum,<p>lorem ipsum</p>,<p>lorem ipsum</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
